,LV,BMT,"Baltmarine Terminal, Riga","Baltmarine Terminal, Riga",RIX,RQ,1------B,1501,,,
,LV,STO,Stopini,Stopini,087,RL,1-3-----,1401,,5656N 02423E,
,LV,STC,Strenci,Strenci,096,RL,--3-----,1601,,5737N 02541E,
,LV,TSN,Stunisi,Stunisi,RIX,RL,--3-----,1607,,5652N 02403E,
,LV,TSI,Talsi,Talsi,097,RL,--3-----,1307,,5715N 02236E,
,LV,TUR,Taurene,Taurene,022,RL,--3-----,1601,,5710N 02542E,
,LV,TER,Terehova,Terehova,001,RQ,--3----B,1307,,,
,LV,TRV,Tervete,Tervete,098,RL,--3-----,1601,,5628N 02323E,
,LV,TVT,Tervete,Tervete,041,RL,--3-----,1601,,5638N 02336E,
,LV,XRT,Tiraine,Tiraine,062,RL,1-3-----,1401,,5652N 02404E,
,LV,TKM,Tukums,Tukums,099,RL,-23-----,1307,,5658N 02309E,
,LV,LM8,Ungurpils,Ungurpils,005,RL,1-3-----,1401,,5746N 02448E,
,LV,VVM,Vaidava,Vaidava,045,RL,--3-----,1601,,5726N 02517E,
,LV,VND,Vainode,Vainode,100,RL,--3-----,1601,,5626N 02152E,
,LV,VGE,Valdgale,Valdgale,097,RL,-23-----,1307,,5717N 02234E,
,LV,VAL,Valka,Valka,101,RL,-23-----,1307,,5746N 02601E,
,LV,VLL,Valle,Valle,002,RL,--3-----,1307,,5630N 02443E,
,LV,VIA,Valmiera,Valmiera,VMR,RQ,--3-----,1307,,,
,LV,VGI,Vangazi,Vangazi,037,RL,-23-----,1307,,5705N 02433E,
,LV,VKN,Varaklani,Varaklani,102,RL,--3-----,1601,,5637N 02644E,
,LV,VKV,Varkava,Varkava,004,RL,--3-----,1601,,5604N 02557E,
,LV,VRK,Varkava,Varkava,103,RL,--3-----,1601,,5615N 02634E,
,LV,VBG,Vecpiebalga,Vecpiebalga,104,RL,--3-----,1601,,5701N 02550E,
,LV,VCE,Vecsaule,Vecsaule,016,RL,--3-----,1501,,5625N 02420E,
,LV,VCK,Vecumnieki,Vecumnieki,105,RL,--3-----,1601,,5636N 02431E,
,LV,VMK,Vecumnieki,Vecumnieki,102,RL,--3-----,1601,,5640N 02639E,
,LV,VNT,Ventspils,Ventspils,VEN,QQ,1-------,9207,,,
,LV,VSA,Veselava,Veselava,075,RL,--3-----,1901,,5717N 02529E,
,LV,VST,Viesite,Viesite,107,RL,--3-----,1601,,5621N 02533E,
,LV,VIL,Vilaka,Vilaka,015,RL,--3-----,1501,,5710N 02740E,
,LV,VLN,Vilani,Vilani,109,RL,--3-----,1601,,5633N 02657E,
,LV,ZAK,Zakumuiza,Zakumuiza,080,RQ,--3-----,1307,,5658N 02428E,
,LV,ZIL,Zilaiskalns,Zilaiskalns,045,RL,--3-----,1307,,5731N 02515E,
,LV,ZLP,Zilupe,Zilupe,058,RL,--3-----,1307,,5623N 02807E,
